egoID,roundID,NumPopularAlters,Jaccard,u,r,Q
146,r_3,a_0,0.1111111111111111,3,3.4375,4.285694590028606
147,r_3,a_1,0.1,2,3.1875,7.905127888475423
148,r_3,a_1,0.05555555555555555,2,2.5625,5.4030450660422265
149,r_3,a_2,0.08333333333333333,1,2.625,7.623403033617843
150,r_3,a_1,0.09090909090909091,2,2.5625,9.249629659958385
151,r_3,a_1,0.045454545454545456,3,2.7083333333333335,9.279460223577919
152,r_3,a_1,0.05,1,2.6,4.735375358886582
153,r_3,a_1,0.09090909090909091,3,2.75,8.65620805948127
119,r_4,a_2,0.05555555555555555,2,3.125,8.427856422684473
102,r_4,a_1,0.09545454545454546,2,3.5,6.262894034706591
103,r_4,a_1,0.1,1,3.25,10.076102842699946
104,r_4,a_2,0.1,2,3.4375,5.2461804334496165
105,r_4,a_2,0.045454545454545456,3,3.1875,7.154601814004229
106,r_4,a_2,0.0,4,3.3125,6.417321760728706
107,r_4,a_2,0.05555555555555555,3,3.625,11.955259141167183
108,r_4,a_2,0.1,0,3.375,4.230330005788006
109,r_4,a_2,0.0,2,3.3125,7.2809362314079
110,r_4,a_2,0.045454545454545456,2,3.3,7.150426635106976
117,r_4,a_2,0.0,1,2.875,6.527585216397706
118,r_4,a_1,0.0,2,3.3125,4.7511692855739245
113,r_4,a_1,0.0625,2,3.6,9.504020705584361
114,r_4,a_2,0.1111111111111111,2,3.2916666666666665,4.079596769924997
115,r_4,a_2,0.05555555555555555,2,3.0,7.387886658685154
116,r_4,a_1,0.05555555555555555,0,3.25,2.8204958984225383
120,r_4,a_2,0.09090909090909091,4,3.125,8.397452981583596
121,r_4,a_1,0.05555555555555555,1,2.875,4.888302333349835
130,r_4,a_1,0.09090909090909091,2,3.0,5.373755920603698
132,r_4,a_2,0.045454545454545456,4,3.125,10.110111168252045
133,r_4,a_1,0.09090909090909091,3,3.4375,4.404965141882109
134,r_4,a_0,0.0,2,3.25,6.74251145127808
135,r_4,a_1,0.1111111111111111,1,3.3125,6.234203555045529
137,r_4,a_1,0.1,2,3.0,3.8108637380450814
140,r_4,a_0,0.0,3,3.4375,6.027479327726335
142,r_4,a_1,0.0,3,3.2083333333333335,7.404490194039826
143,r_4,a_1,0.0,2,3.3125,7.345646651900634
144,r_4,a_2,0.045454545454545456,3,3.125,7.334976433716079
146,r_4,a_0,0.0625,1,3.5625,4.370322340994787
147,r_4,a_1,0.05,3,2.875,5.186855526141223
148,r_4,a_1,0.1,2,2.9375,6.568990780332959
149,r_4,a_2,0.05,2,3.0,6.516915416799494
150,r_4,a_1,0.045454545454545456,3,3.125,9.346062385173571
151,r_4,a_1,0.05555555555555555,4,2.9583333333333335,11.04232812594268
152,r_4,a_1,0.09545454545454546,4,3.45,6.911100232363578
153,r_4,a_1,0.045454545454545456,2,3.0,9.606424166059458
119,r_5,a_2,0.05555555555555555,2,2.8125,9.698960915589568
102,r_5,a_1,0.18055555555555555,1,2.8125,5.202665981820039
103,r_5,a_0,0.14545454545454545,3,3.0,8.785897499795396
104,r_5,a_2,0.1,0,3.0625,7.666893863359986
105,r_5,a_1,0.1611111111111111,1,2.1875,4.484483806761706
106,r_5,a_2,0.045454545454545456,2,2.5625,7.762342593844447
107,r_5,a_1,0.1611111111111111,3,3.0,9.77056724281543
108,r_5,a_2,0.045454545454545456,1,2.125,3.0857556019220453
109,r_5,a_0,0.29545454545454547,1,2.6875,6.302272161102875
110,r_5,a_1,0.2,2,2.8125,9.818615944264138
117,r_5,a_1,0.05,3,2.4583333333333335,7.561681354709524
118,r_5,a_0,0.14545454545454545,1,2.75,3.550549323280099
113,r_5,a_2,0.05555555555555555,1,2.75,8.350767157562792
114,r_5,a_1,0.0,3,2.5,9.941784632165032
115,r_5,a_2,0.05555555555555555,3,2.9375,10.229575011866572
116,r_5,a_1,0.125,2,2.0625,4.4349063828473705
120,r_5,a_1,0.26666666666666666,1,2.875,5.67493497687653
121,r_5,a_0,0.3333333333333333,1,2.5625,7.848209944674345
130,r_5,a_1,0.045454545454545456,3,2.35,6.378726920273209
132,r_5,a_1,0.2121212121212121,2,2.875,11.79293940031805
133,r_5,a_1,0.045454545454545456,2,2.4375,3.9178229565402773
134,r_5,a_0,0.18055555555555555,2,2.6875,4.545349068550598
135,r_5,a_1,0.045454545454545456,3,2.45,5.162527961009811
137,r_5,a_0,0.2,3,2.6875,7.62205858842022
140,r_5,a_0,0.0,3,2.5,6.413453061970452
142,r_5,a_1,0.045454545454545456,4,2.7916666666666665,6.671445349103721
143,r_5,a_0,0.14545454545454545,1,2.2,4.826995828486201
144,r_5,a_1,0.14545454545454545,2,2.8125,8.011498401113556
146,r_5,a_0,0.2698412698412698,1,2.625,4.704209333762289
147,r_5,a_1,0.1,3,3.3125,10.830846545597133
148,r_5,a_0,0.09090909090909091,1,2.6875,4.378998744020537
149,r_5,a_1,0.045454545454545456,3,2.5,7.394423086363553
150,r_5,a_1,0.0,1,2.4375,7.376238574781986
151,r_5,a_1,0.16666666666666666,3,2.5,6.864580783085731
152,r_5,a_1,0.045454545454545456,4,2.625,6.578706904081113
153,r_5,a_1,0.09090909090909091,4,2.6,9.094574993274815
176,r_1,a_2,0.05555555555555555,2,2.875,4.883080689513152
178,r_1,a_0,0.26666666666666666,2,2.4375,3.642049470586631
179,r_1,a_0,0.2,1,3.0,4.149156978380322
181,r_1,a_1,0.1,0,3.1875,4.334127179203459
182,r_1,a_2,0.045454545454545456,2,2.9375,6.0983507736353815
184,r_1,a_0,0.26666666666666666,1,3.05,8.305374623944774
186,r_1,a_0,0.14545454545454545,2,3.0,5.099144135657388
187,r_1,a_1,0.14545454545454545,4,3.25,8.195274767175242
188,r_1,a_2,0.045454545454545456,1,3.1875,6.517773094332897
189,r_1,a_1,0.14545454545454545,2,3.0625,7.336043553010051
190,r_1,a_0,0.0,3,3.25,11.650654949039183
192,r_1,a_0,0.375,4,2.9375,5.908738504146139
193,r_1,a_1,0.1,2,2.875,4.139035345043749
194,r_1,a_1,0.045454545454545456,3,3.0,4.964494926160762
196,r_1,a_0,0.14545454545454545,4,2.9375,6.116607150006769
195,r_1,a_0,0.2,1,3.125,7.795425636713867
223,r_1,a_0,0.2121212121212121,2,3.0,4.307431431070075
224,r_1,a_1,0.09090909090909091,3,3.0625,6.251073536803828
204,r_1,a_1,0.1875,2,2.9375,5.38200209053776
206,r_1,a_1,0.1,4,3.2916666666666665,8.724555653018744
209,r_1,a_0,0.14545454545454545,2,2.7083333333333335,4.386115277635732
210,r_1,a_1,0.25,2,3.25,9.190243293430928
211,r_1,a_2,0.045454545454545456,2,3.0,9.492231738821424
212,r_1,a_1,0.09090909090909091,1,2.6875,4.863191380273849
213,r_1,a_0,0.2375,1,2.8125,5.417666749176792
214,r_1,a_0,0.26666666666666666,3,2.875,3.34598102626342
215,r_1,a_0,0.09090909090909091,5,2.7916666666666665,8.227134777673243
216,r_1,a_1,0.1,1,2.4375,5.555422330648171
218,r_1,a_1,0.09090909090909091,5,2.9583333333333335,9.271231146061318
219,r_1,a_0,0.045454545454545456,3,2.9375,8.431239703496644
220,r_1,a_0,0.05,2,2.875,5.000937342133085
221,r_1,a_0,0.26666666666666666,0,2.4375,5.393935359367854
222,r_1,a_0,0.2121212121212121,1,2.875,6.259576338541483
226,r_1,a_0,0.2121212121212121,3,2.8125,6.146472699089165
227,r_1,a_2,0.045454545454545456,1,2.9375,7.203375444163222
228,r_1,a_2,0.0,1,2.625,3.17631633594637
176,r_2,a_2,0.045454545454545456,1,2.6875,4.0132862295876315
178,r_2,a_0,0.09545454545454546,4,2.625,4.653944107604163
179,r_2,a_0,0.05,2,3.3125,5.3110803021351884
181,r_2,a_2,0.045454545454545456,2,2.75,6.839474262312509
182,r_2,a_0,0.09545454545454546,2,2.8125,5.056847244209068
184,r_2,a_2,0.0,4,3.5625,12.799389315248554
186,r_2,a_1,0.0,2,3.3125,8.315009985095347
187,r_2,a_1,0.07142857142857142,2,3.25,10.431789555319948
188,r_2,a_1,0.0,3,2.75,7.2412759923128736
189,r_2,a_2,0.1,3,3.125,8.52685623832397
190,r_2,a_2,0.045454545454545456,0,2.4583333333333335,11.566015535539961
192,r_2,a_2,0.0,1,2.9375,4.896054003348711
193,r_2,a_1,0.0,1,2.6875,6.127021255867337
194,r_2,a_1,0.0,3,2.75,4.124442764380227
196,r_2,a_2,0.0,2,2.75,7.8668654382610566
195,r_2,a_2,0.0,3,2.875,7.287481448495449
223,r_2,a_2,0.045454545454545456,1,3.0625,6.673212076729909
224,r_2,a_1,0.09545454545454546,3,2.1875,6.788297561112428
204,r_2,a_1,0.0,3,2.85,8.886944552629167
206,r_2,a_1,0.05,4,3.5,13.055972973017282
209,r_2,a_0,0.0,1,3.1,6.899327928633141
210,r_2,a_1,0.05,2,3.25,10.682004415344363
211,r_2,a_2,0.1,5,3.25,9.478650200869804
212,r_2,a_1,0.0625,0,2.875,6.737490015034092
213,r_2,a_0,0.2111111111111111,3,3.3125,5.165625018701622
214,r_2,a_0,0.10555555555555556,1,3.0625,5.792745950436505
215,r_2,a_0,0.1611111111111111,4,2.875,6.658163202448385
216,r_2,a_1,0.09545454545454546,5,2.7916666666666665,4.7988467708307665
218,r_2,a_1,0.0,4,3.6,11.08123464228865
219,r_2,a_0,0.05555555555555555,1,2.5,6.210732620757558
220,r_2,a_0,0.09545454545454546,3,2.8125,7.938103966000462
221,r_2,a_0,0.1611111111111111,4,2.8125,5.662367430618058
222,r_2,a_0,0.15656565656565657,1,2.6875,6.113877577079725
226,r_2,a_0,0.09545454545454546,1,2.8125,3.335021569134132
227,r_2,a_2,0.1,2,2.9375,6.844195890691697
228,r_2,a_2,0.0,2,2.6875,6.175661038609471
176,r_3,a_2,0.045454545454545456,0,3.4375,3.1962668713058893
178,r_3,a_0,0.10555555555555556,0,2.6875,6.806870764487099
179,r_3,a_0,0.125,0,3.375,5.087605047770301
181,r_3,a_2,0.0,2,2.3125,7.128253203337525
